time,weather_code (wmo code),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),rain_sum (mm),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
28-01-2025,3,23.6,331,0,0,18.7,27.2,28.5,26
29-01-2025,3,24.7,337,0,0,19.25,26.2,27.2,25.4
30-01-2025,3,25.1,338,0,0,19.16,25.8,26.8,24.2
31-01-2025,3,29.1,339,0,0,19.47,25.3,26.9,23.8
01-02-2025,3,33.2,344,0,0,19.17,24.2,26.9,22.6
02-02-2025,3,29.4,341,0,0,19.11,24.5,25.5,22.5
03-02-2025,3,30.8,340,0,0,19.35,25,25.8,24.1
04-02-2025,3,32.4,339,0,0,19.49,24.4,26.3,21.3
05-02-2025,3,38.4,345,0,0,19.96,22.5,24.6,20.3
06-02-2025,0,25.2,338,0,0,19.82,25.6,29,21.7
07-02-2025,0,19.1,326,0,0,19.87,28.2,29.7,25.8
08-02-2025,0,24.7,336,0,0,19.9,27.7,29.4,26.2
09-02-2025,1,28.2,332,0,0,20.07,27.2,28.5,26.5
10-02-2025,2,28.4,333,0,0,20.27,27,28.4,25.8
11-02-2025,0,30.1,336,0,0,20.69,25.9,27.2,24.7
12-02-2025,0,31,341,0,0,21.21,25.6,27.9,22.9
13-02-2025,0,31.9,347,0,0,21.2,25.8,27.5,22.9
14-02-2025,0,36.4,349,0,0,21.05,26.3,28.2,24.2
15-02-2025,0,32.8,340,0,0,21.46,26.6,28.2,25.4
16-02-2025,0,30,338,0,0,21.54,26.9,28.8,25
17-02-2025,0,29.7,335,0,0,21.32,27,28.4,26.1
18-02-2025,0,31.5,343,0,0,21.51,27.3,28.7,25.4
19-02-2025,3,29.2,335,0,0,21.47,27.1,28.1,26.3
20-02-2025,1,35.5,349,0,0,21.49,26.8,29.3,25.5
21-02-2025,0,35.4,354,0,0,21.54,27.3,30.8,25.2
22-02-2025,0,32.4,345,0,0,21.69,27.5,28.8,26
23-02-2025,0,27.9,343,0,0,21.99,28,29.8,26.1
24-02-2025,3,30.1,348,0,0,22.04,28.2,31.3,25.7
25-02-2025,3,27.8,345,0,0,21.92,29.7,32.4,26.1
26-02-2025,0,22.3,331,0,0,22.08,30,32.6,27.3
27-02-2025,1,22.4,328,0,0,22.05,30.4,32.6,27.4
28-02-2025,3,26.7,332,0,0,22,29.7,31.3,27.5
01-03-2025,3,32.8,337,0,0,22.12,28.7,30.1,27.5
02-03-2025,3,31.9,339,0,0,22.44,28.5,31.7,26.1
03-03-2025,3,33.8,340,0,0,21.35,28.5,31.2,26.9
04-03-2025,3,37.8,342,0,0,22.42,28.1,31,26.5
05-03-2025,0,34.9,343,0,0,23.34,27.4,30.2,24.9
06-03-2025,0,30.1,347,0,0,23.9,27.1,28.6,24.1
07-03-2025,0,29.1,335,0,0,23.6,28.1,30.9,24.9
08-03-2025,2,24,322,0,0,23.52,29.3,32.2,26.1
09-03-2025,2,28,332,0,0,23.27,30,32.1,28.2
10-03-2025,0,25.9,324,0,0,23.3,31.4,33.3,27.8
11-03-2025,0,22.5,312,0,0,23.12,32.2,33.2,29.7
12-03-2025,0,25.4,312,0,0,23.36,32.2,34.4,29.5
13-03-2025,1,24.2,293,0,0,23.36,32.2,34.3,30.6
14-03-2025,1,25.9,314,0,0,23.49,31.9,33.3,29.1
15-03-2025,3,30.6,327,0,0,23,30.6,32,28.9
16-03-2025,3,31.1,334,0,0,22.87,30.2,31.8,29
17-03-2025,3,33,329,0,0,23.35,30,31.4,28.5
18-03-2025,0,31.4,323,0,0,23.86,30.1,31.7,28.3
19-03-2025,0,31.8,330,0,0,23.94,29.6,31,27.7
20-03-2025,0,30.9,328,0,0,23.92,29.2,30.9,27.5
21-03-2025,0,32.9,326,0,0,23.86,29.1,30.5,27.5
22-03-2025,0,29.6,313,0,0,24.51,30.4,32.6,28.3
23-03-2025,0,28.9,278,0,0,23.82,32,33.9,30
24-03-2025,1,32.9,303,0,0,23.4,31.7,33.2,29.9
25-03-2025,0,27.5,302,0,0,24.23,31.9,33.7,30.5
26-03-2025,1,28.2,308,0,0,24.18,31,32.3,29.2
27-03-2025,1,28.8,326,0,0,23.35,29.9,31.1,28.2
28-03-2025,0,33.8,332,0,0,23.95,30.2,32.3,29.1
29-03-2025,3,32.4,329,0,0,24.37,30.2,33.2,27.2
30-03-2025,3,30.7,315,0,0,23.22,31.8,33.3,30.1
31-03-2025,3,26.9,290,0,0,23.75,32.4,34.5,30.7
01-04-2025,3,28.4,334,0,0,21.06,32.2,34.3,29.5
02-04-2025,2,19.8,222,0,0,23.88,33.1,35.2,31.6
03-04-2025,2,20.7,227,0,0,22.36,33.6,34.7,32.2
04-04-2025,51,28.8,313,0.4,0.4,23.41,32.4,33.9,30.9
05-04-2025,1,29.6,309,0,0,24.29,32.5,35,30.8
06-04-2025,1,29.4,259,0,0,24.33,33.5,35.3,31.9
07-04-2025,3,29.3,317,0,0,24.16,33,34.6,31.8
08-04-2025,1,30.9,311,0,0,24.27,33.6,34.7,32
09-04-2025,3,30.2,209,0,0,24.8,33.3,36.1,31.2
10-04-2025,2,22.8,207,0,0,21.66,33.1,35.3,31.8
11-04-2025,1,26.6,217,0,0,25.2,32.3,33.1,31.3
12-04-2025,1,22.9,240,0,0,24.05,33.1,34,32.4
13-04-2025,1,29.7,324,0,0,24.62,32.4,33.8,31.1
14-04-2025,0,38.4,324,0,0,25.81,31.8,33.5,30.1
15-04-2025,0,35.2,314,0,0,25.37,32.8,34.6,30.4
16-04-2025,1,31.3,287,0,0,25.28,33.1,34.6,31.3
17-04-2025,2,30.6,276,0,0,25.07,33,33.9,31.3
18-04-2025,1,28.3,269,0,0,25.02,33.1,34.6,31.3
19-04-2025,1,27.6,277,0,0,25.03,33,34.4,31.4
20-04-2025,1,26.3,296,0,0,25.51,32.7,34,31.9
21-04-2025,0,28.8,318,0,0,25.14,32.9,34.3,31.8
22-04-2025,0,31.4,285,0,0,25.32,33.6,35.8,32.1
23-04-2025,0,33,258,0,0,25.57,34.2,35.5,32.2
24-04-2025,1,27.2,246,0,0,25.46,33.8,35.3,32.1
25-04-2025,1,27.8,286,0,0,25.19,33.6,34.9,31.5
26-04-2025,2,26.7,287,0,0,22.38,33.4,34.5,31.8
27-04-2025,3,28.8,276,0,0,25.85,33.4,35.1,31.6
28-04-2025,1,29.5,259,0,0,25.53,33.6,35.7,31.5
29-04-2025,2,25.2,240,0,0,25.51,33.8,35.2,32.4
30-04-2025,1,28.9,275,0,0,25.03,33.9,35.2,32.2
01-05-2025,1,39.3,288,0,0,25.5,34.6,35.7,31
02-05-2025,2,31.1,293,0,0,25.98,33.8,35.2,31.6
03-05-2025,0,26.1,241,0,0,25.96,33.7,34.9,32.8
04-05-2025,1,22.7,260,0,0,25.05,33.8,34.6,32.6
05-05-2025,51,31.1,259,0.2,0.2,25.36,33.6,35.4,28.1
06-05-2025,51,24.7,237,0.6,0.6,24.54,33,34.8,29.4
07-05-2025,63,30.3,225,10.8,10.8,21,30.2,34.6,25.8
08-05-2025,55,27.2,200,5.4,5.4,22.41,30.2,32.9,27.1
09-05-2025,51,30.4,199,1.3,1.3,22.19,31.4,33.1,28.7
10-05-2025,51,22.2,223,0.1,0.1,24.56,33.5,34.8,31.2
11-05-2025,51,20,259,0.2,0.2,24.5,34,35.1,31.7
12-05-2025,51,21.1,283,0.3,0.3,23.94,34.6,35.5,33.7
13-05-2025,51,22.3,302,0.9,0.9,24.46,34.9,35.8,33.5
14-05-2025,51,21.3,307,0.2,0.2,24.69,34.1,35.3,31.7
15-05-2025,51,22.7,284,0.3,0.3,23.36,35,36,33.9
16-05-2025,51,20.9,237,0.2,0.2,22.54,34.7,35.7,33.9
17-05-2025,51,19.3,246,0.3,0.3,21.93,34.6,35.3,33.3
18-05-2025,3,22.4,277,0,0,23.2,34.9,35.8,33.3
19-05-2025,3,30.2,306,0,0,17.6,34.3,35.9,32.9
20-05-2025,55,21.8,320,8.7,8.7,17.62,35,36.4,32.3
21-05-2025,51,25.2,285,0.2,0.2,12.52,34,35.8,31.4
22-05-2025,63,33.9,324,5.9,5.9,16.25,33.1,35.2,31.7
23-05-2025,53,24.9,342,2.6,2.6,15.89,35.1,37.1,32.9
24-05-2025,63,31.9,330,7.8,7.8,17.12,33.5,35.5,29.7
25-05-2025,63,28.7,331,41.8,41.8,5.97,31.9,35.3,28.3
26-05-2025,65,52,340,67.5,67.5,3.68,31.7,34.8,27.1
27-05-2025,63,23.9,261,21.2,21.2,10.84,33.1,34.7,31.5
28-05-2025,61,21.3,212,6.7,6.7,13.2,32.4,34.7,29.3
29-05-2025,53,36.8,262,3.2,3.2,22.54,34.2,36.3,32.1
30-05-2025,53,33.9,249,1.6,1.6,23.23,33.1,34.8,31.6
31-05-2025,53,33.2,223,3.2,3.2,22.63,32.4,34.3,28.7
01-06-2025,61,33.1,204,9.3,9.3,20.59,30.7,33,28.6
02-06-2025,61,35.9,200,9,9,22.2,31.1,33.3,27.4
03-06-2025,61,41.7,190,8.8,8.8,21.27,30.5,33,27.6
04-06-2025,61,29.5,187,3.5,3.5,23.32,31.9,33.8,28.5
05-06-2025,51,20.8,208,0.3,0.3,22.22,33.6,35.2,30.6
06-06-2025,63,16.5,285,6.5,6.5,22.7,33.8,34.7,31.9
07-06-2025,51,16.6,261,1.3,1.3,19.92,33,33.9,31.2
08-06-2025,55,24.5,289,5.5,5.5,22.19,33.6,34.5,32.6
09-06-2025,51,32.7,296,0.3,0.3,23.19,33.2,33.9,31.9
10-06-2025,51,29.7,300,0.2,0.2,22.39,33.4,34,32.3
11-06-2025,51,34.8,304,0.6,0.6,20.64,33.6,35,32.1
12-06-2025,63,38.7,310,10.2,10.2,16.7,33.1,35.2,31.7
13-06-2025,65,35,352,59.8,59.8,13.73,31.8,33.3,30.1
14-06-2025,65,27.4,287,55,55,14.18,32.7,34.9,29.9
15-06-2025,65,46.8,220,71,71,8.72,31.2,34.3,27.6
16-06-2025,65,53.3,246,73.7,73.7,2.91,28.5,31.5,26.4
17-06-2025,65,47.4,230,39.2,39.2,18.38,28.9,30.6,26.3
18-06-2025,65,50.2,253,97.5,97.5,14.09,28.9,30.9,26.7
19-06-2025,65,48.2,245,53.6,53.6,5.98,29.7,31.8,26.7
20-06-2025,63,38.6,225,16.5,16.5,18.71,30.4,31.9,28.4
21-06-2025,61,38.9,234,14.2,14.2,18.65,30.7,31.9,28.3
22-06-2025,63,44.5,234,22.7,22.7,19.1,29.8,31.3,27.9
23-06-2025,65,44.2,246,47.9,47.9,14.49,28.8,31.2,27.7
24-06-2025,63,47.6,241,32.4,32.4,11.05,29.8,32.2,28.2
25-06-2025,63,46.9,243,12.9,12.9,19.35,30,31.3,28.8
26-06-2025,63,40.2,233,23.1,23.1,10.3,29.7,31.6,28.4
27-06-2025,63,41.4,228,14.8,14.8,17.64,29.2,30.9,27.5
28-06-2025,63,46.6,231,20.8,20.8,20.4,28.6,30.1,27
29-06-2025,61,41.5,232,12.2,12.2,12.55,29.1,30.6,26.9
30-06-2025,63,41.1,247,27,27,19.03,28.9,30.3,27.6
01-07-2025,63,38.9,243,32.7,32.7,12.62,29.5,31.5,26.9
02-07-2025,63,38.8,244,41.6,41.6,9.98,28.7,30,27.3
03-07-2025,63,41.9,230,24.6,24.6,17.55,28.6,30.5,26
04-07-2025,63,44.1,231,25.1,25.1,16.69,28.6,30.6,27.1
05-07-2025,63,46.1,244,23.5,23.5,12.89,28.4,29.8,26.8
06-07-2025,63,49.7,243,22.5,22.5,12.36,28.3,30.1,26.6
07-07-2025,51,40.1,244,2.6,2.6,14.81,29.3,30.2,27.9
08-07-2025,53,39.8,246,4.8,4.8,13.38,29.2,29.9,28.5
09-07-2025,63,37.8,245,15.8,15.8,12.23,29.9,31.7,28.3
10-07-2025,53,28.7,236,6.6,6.6,17.33,30.8,32.8,29
11-07-2025,55,31.3,243,8.2,8.2,15.99,30.5,31.6,29
12-07-2025,61,29.6,252,7.1,7.1,22.13,30.6,32.9,29.3
13-07-2025,63,31.4,243,22.4,22.4,16.64,29.9,31.9,28.6
14-07-2025,65,38.9,245,64.2,64.2,11.43,28.9,30,27.5
15-07-2025,65,29.1,253,25.8,25.8,9.86,30.2,31.7,29
16-07-2025,53,27,260,3.6,3.6,20.08,31.2,32.3,30.3
17-07-2025,55,19.4,247,3.8,3.8,20.66,32.1,33.4,30.6
18-07-2025,53,22,261,3,3,20.85,31.8,33,30.2
19-07-2025,53,23.7,240,4.4,4.4,19.19,30.7,32.6,29.4
20-07-2025,63,24.9,228,16.8,16.8,17.99,30,30.8,29
21-07-2025,63,23.4,241,42.9,42.9,9.84,30.5,31.5,29.7
22-07-2025,63,28.3,259,42.8,42.8,10.46,30.2,31.1,28.5
23-07-2025,61,33.2,250,12.3,12.3,10.23,29.3,31.3,26.7
24-07-2025,63,38.9,241,28.7,28.7,8.86,28.9,29.8,27.9
25-07-2025,63,42.3,252,38,38,8.23,28.6,29.5,27.4
26-07-2025,63,46,257,23.2,23.2,11.6,27.8,29,26.2
27-07-2025,63,49.9,247,9.1,9.1,19.02,27,27.8,25.5
28-07-2025,55,49.6,251,6.3,6.3,17.14,27.1,28.2,25.7
29-07-2025,61,47.5,254,10.3,10.3,10.8,27.3,28.2,25.9
30-07-2025,53,40.7,244,4.1,4.1,8.64,28.1,29.1,27.3
31-07-2025,53,40.2,238,5.8,5.8,13.51,28.3,29.8,27.1
01-08-2025,53,33.8,244,5.2,5.2,19.38,29.6,30.9,27.8
02-08-2025,61,25.5,245,8.3,8.3,18.73,30.1,31.2,29
03-08-2025,53,19.9,234,4.3,4.3,19.13,30.7,31.9,29.4
04-08-2025,53,21.4,261,2.3,2.3,21.19,31.3,32.2,30.3
05-08-2025,51,23.8,277,1.4,1.4,22.36,31.6,33.1,30.2
06-08-2025,53,23.5,294,0.7,0.7,20.36,32,32.7,30.8
07-08-2025,51,20.1,294,1.5,1.5,14.81,32,33.2,30.4
08-08-2025,53,15.3,275,2.7,2.7,12.54,31.8,32.6,31.1
09-08-2025,51,17.5,253,1.3,1.3,19.02,31.6,32.5,30.3
10-08-2025,53,22.5,246,3.5,3.5,15.47,30.9,31.9,29.7
11-08-2025,53,24.9,255,5.5,5.5,19.18,30.4,31.7,29.6
12-08-2025,55,27.6,261,8.1,8.1,18.18,30.1,31.1,29.1
13-08-2025,63,23,243,15.3,15.3,14.78,30.1,31,29.3
14-08-2025,65,31.8,232,97.8,97.8,9.16,29.7,31.2,28.5
15-08-2025,63,28.5,251,41.3,41.3,9.67,29.9,31.1,29.2
16-08-2025,63,27,251,29.5,29.5,5.83,29.5,30.3,28.4
17-08-2025,63,38.3,241,33.6,33.6,16.33,28.7,30.6,27.3
18-08-2025,65,44.6,249,125.5,125.5,4.57,27.2,28.5,25.8
19-08-2025,65,55.6,251,108.7,108.7,4.94,26.4,27.4,25.3
20-08-2025,65,50.2,240,55.7,55.7,5.35,26.6,27.4,25.4
21-08-2025,61,41.4,235,8.2,8.2,19.72,28.1,28.9,27.4
22-08-2025,61,38.2,242,9.5,9.5,20.26,28.4,29.5,27.3
23-08-2025,63,42.7,239,6.2,6.2,19.38,27.7,28.7,26.7
24-08-2025,61,40.8,239,8.3,8.3,20.91,27.6,28.8,26.2
25-08-2025,63,41.8,243,27.1,27.1,8.66,27.7,29.6,25.8
26-08-2025,63,36.5,261,17,17,16.32,29.1,30,27.8
27-08-2025,55,23.6,279,7.9,7.9,17.89,30.4,31.8,29.6
28-08-2025,63,22.8,280,16.6,16.6,14.01,30.8,32,29.3
29-08-2025,61,20.8,229,12.5,12.5,15.26,30.5,31.6,29.7
30-08-2025,61,25.6,241,5.1,5.1,18.35,30.6,32.4,29.1
31-08-2025,61,31,254,7.5,7.5,15.94,29.3,30.3,27.8
01-09-2025,63,38,258,13.8,13.8,16.81,28.4,29.3,27.8
02-09-2025,53,29.8,272,3.9,3.9,19.44,29.4,30.7,28
03-09-2025,61,33.5,283,6.4,6.4,20.42,29.9,31.5,28.4
04-09-2025,63,29,274,22.2,22.2,7.03,29.1,30.3,28.2
05-09-2025,61,28.1,261,14.4,14.4,9.68,29.7,30.5,28.9
06-09-2025,61,34.6,235,10.3,10.3,11.35,28.3,29.7,26.8
07-09-2025,65,35.3,224,22.5,22.5,16.65,28.7,30.5,26.9
08-09-2025,53,28.6,205,4.1,4.1,21.23,29.8,31.6,27.8
09-09-2025,51,20.6,198,0.3,0.3,23.42,31.5,33.4,29
10-09-2025,51,20,305,0.1,0.1,23.27,31.9,33.4,30.5
11-09-2025,53,20.1,299,1.1,1.1,21.38,31.5,32.5,30.6
12-09-2025,51,21.9,323,1.1,1.1,20.26,31.6,33,30
13-09-2025,63,25.7,319,17.5,17.5,15.7,30.6,31.4,29.8
14-09-2025,65,27.9,323,43.1,43.1,17.2,30.7,32.7,29.4
15-09-2025,65,32,302,48.5,48.5,8.18,30.1,31.3,28.5
16-09-2025,55,20.2,285,12,12,8.61,31,32,29.8
17-09-2025,61,18.4,281,9.9,9.9,14.8,31.5,32.6,30.2
18-09-2025,63,18.8,286,11.9,11.9,11.13,31.4,32.5,30.3
19-09-2025,63,20.7,246,18.5,18.5,17.06,31,32.4,29.9
20-09-2025,63,21.4,258,13.1,13.1,17.77,31.4,32.3,30.5
21-09-2025,63,23.5,288,11.4,11.4,17.07,31.2,32,29.8
22-09-2025,63,23.8,291,20.7,20.7,12.33,30.8,32.2,29.1
23-09-2025,61,25.9,276,7.3,7.3,13.17,31.1,32,29.1
24-09-2025,53,18.7,266,2.1,2.1,19.7,31,32.1,30.3
25-09-2025,51,15.8,256,2.2,2.2,20.38,31.4,32.5,29
26-09-2025,53,20.8,303,1.5,1.5,18.95,31.8,33,30.5
27-09-2025,65,45.4,287,41.8,41.8,11.9,29.8,31,27.9
28-09-2025,65,50.5,258,87,87,2.47,27,29.5,25
29-09-2025,55,45.2,222,6.4,6.4,14.08,28.1,29.6,25.9
30-09-2025,61,34.8,194,9.4,9.4,17.27,27.5,28.6,26.6
01-10-2025,63,35.5,185,9.6,9.6,18.15,28.7,30.5,26.9
02-10-2025,55,35.3,181,6.6,6.6,13.79,28.6,30.4,27.2
03-10-2025,55,29.5,188,5.5,5.5,19.7,30.3,32.1,28.3
04-10-2025,51,24.5,199,0.8,0.8,20.27,30.8,32.3,29.4
05-10-2025,53,17.8,223,1.4,1.4,15.96,30.7,31.4,29.8
06-10-2025,53,19.3,221,3.4,3.4,20.46,30.5,31.5,29.8
07-10-2025,51,16.9,298,0.5,0.5,19.96,31.3,32.9,29.9
08-10-2025,51,27.4,344,0.3,0.3,20.6,31.6,32.9,30
09-10-2025,3,22.3,357,0,0,21.28,31.8,33.7,29.6
10-10-2025,1,22.4,3,0,0,21.44,32,35.8,30.1
11-10-2025,1,24.4,349,0,0,21.38,31.9,35.2,30.2
12-10-2025,0,23.1,359,0,0,21.27,32.2,36.1,30.5
13-10-2025,1,21.6,351,0,0,21.18,31.7,34.8,30.1
14-10-2025,0,25.8,357,0,0,21.19,31.7,35.6,28.8
15-10-2025,3,22.6,53,0,0,19.9,31.9,34.5,28.7
16-10-2025,63,22.1,36,5.1,5.1,19.42,33.4,38.1,28.1
17-10-2025,3,28.7,5,0,0,19.89,33.8,37.9,31.7
18-10-2025,0,15.8,15,0,0,19.94,33.9,37.1,31.3
19-10-2025,1,20.5,344,0,0,19.98,33.8,37.2,31.7
20-10-2025,2,31.3,13,0,0,19.67,32.9,36.6,31
21-10-2025,61,23.4,35,5.3,5.3,18.68,32.8,35.8,31
22-10-2025,51,17.8,30,0.1,0.1,19.13,34,36.4,32.6
23-10-2025,51,29.9,39,0.3,0.3,19.05,33.6,37.4,31.5
24-10-2025,63,22.1,125,7.3,7.3,10.93,33.2,36.3,31.1
25-10-2025,61,32.8,143,12,12,12.4,30.7,32.3,28.4
26-10-2025,63,33,142,32.7,32.7,4.18,29,31,27
27-10-2025,63,43.6,158,9.9,9.9,14.31,29.1,32.6,25.6
28-10-2025,51,44.8,149,0.6,0.6,16.02,29.8,33.5,27.5
29-10-2025,63,42.6,163,7.4,7.4,18.31,29.8,34.6,27.7
30-10-2025,65,38.6,161,19.9,19.9,14.93,28.7,30.8,27.2
31-10-2025,61,43.4,165,5.5,5.5,15.12,28.5,29.4,27.1
01-11-2025,61,33.1,178,4,4,15.09,29.7,31.6,28
02-11-2025,53,27.9,193,4.7,4.7,13.04,30.1,31.5,28.6
03-11-2025,53,19.3,208,2.6,2.6,17.43,31.1,32.7,29.1
04-11-2025,51,22.5,281,1.9,1.9,16.8,31,31.8,29.4
05-11-2025,53,18.7,339,1.5,1.5,18.01,30.1,31.8,29.4
06-11-2025,3,25.7,348,0,0,17,30.3,31.7,29
07-11-2025,3,25.3,352,0,0,18.33,30.4,33.3,26.9
08-11-2025,0,25.7,16,0,0,19.32,30.2,34.5,26.3
09-11-2025,0,21.2,339,0,0,19.37,28.5,29.5,27.4
10-11-2025,2,17.3,243,0,0,19.26,29,30.2,27
11-11-2025,0,23,2,0,0,19,28.3,30.9,25.4
12-11-2025,0,26,21,0,0,18.94,27.9,31.2,24.7
13-11-2025,0,21.5,19,0,0,18.99,28.4,31.8,25
14-11-2025,0,18.8,36,0,0,19.04,28.1,31.7,24.2
15-11-2025,0,27.7,41,0,0,19.1,27.2,31.8,23.6
16-11-2025,0,27.4,41,0,0,19.07,26.7,31.2,23.2
17-11-2025,0,31,33,0,0,19.09,25.8,29.9,22.7
18-11-2025,0,28.7,33,0,0,19.14,25.5,29.5,21.3
19-11-2025,0,20.3,28,0,0,18.83,26.6,31.1,21.8
20-11-2025,3,23.4,14,0,0,18.63,27.1,31.1,23.1
21-11-2025,1,21.9,20,0,0,18.14,28,32.8,23.4
22-11-2025,3,18.8,9,0,0,17.47,29.4,31.6,26.4
23-11-2025,3,22.6,341,0,0,17.27,29.8,31.1,28.6
24-11-2025,3,24.1,341,0,0,17.16,29.8,31,28.8
25-11-2025,2,18.5,343,0,0,16.8,30.4,31.7,28.7
26-11-2025,2,22.6,342,0,0,16.86,30.1,31.4,28.8
27-11-2025,0,22.6,355,0,0,17.12,29.4,32.6,26.8
28-11-2025,3,27.5,2,0,0,17.38,28.7,32.2,26.1
29-11-2025,3,24.8,20,0,0,17.01,27.4,30.3,25.2
30-11-2025,3,29.2,11,0,0,17.53,26.2,28.9,23.5
01-12-2025,3,25.2,11,0,0,17.52,27,30.4,23.4
02-12-2025,3,25.2,355,0,0,16.79,26.4,29,23.4
03-12-2025,1,25.3,18,0,0,17.41,27.2,31.8,23.1
